"","gene","fc_PCR_vs_RD","pval","mean_PCR","mean_RD","mean_diff"
"200","SLC5A6",0.533590513530071,0.407165109823382,-0.0384428947368421,-0.0720456862745098,0.0336027915376677
"201","PDE6D",-0.106599652073319,0.0135324056454656,0.00502105263157895,-0.0471019607843137,0.0521230134158927
"202","SPTBN1",-0.105038016088692,0.367384957478623,0.00260473684210526,-0.0247980392156863,0.0274027760577915
"203","AFTPH",1.87871075032006,0.0563393136557369,-0.0936065789473684,-0.0498249019607843,-0.0437816769865841
"204","MALL",0.158252099945894,0.0756636503642738,-0.010495,-0.0663182352941177,0.0558232352941177
"205","SLC2A4RG",1.01763401985008,0.932419846590479,-0.193998157894737,-0.190636470588235,-0.00336168730650155
"206","SLC2A4RG.1",1.20102789360138,0.382168274782097,-0.202707368421053,-0.168778235294118,-0.033929133126935
"207","C20orf24",1.80695701379607,0.546096503820959,0.0428734210526316,0.023726862745098,0.0191465583075335
"208","CHD6",2.6948322362178,0.448481550363407,-0.0278413157894737,-0.0103313725490196,-0.0175099432404541
"209","WISP2",1.58052804895027,0.459403763534959,-0.155000526315789,-0.0980688235294118,-0.0569317027863777
"210","MATN4",-7.51519713389738,0.124290819077614,0.0607655263157895,-0.00808568627450981,0.0688512125902993
"211","WFDC6",0.544074730183686,0.290485419557514,0.0453844736842105,0.0834158823529412,-0.0380314086687306
"212","MGC4294",1.48817154922,0.474029841189248,-0.0791257894736842,-0.0531698039215686,-0.0259559855521156
"213","DEFB129",1.21356211612042,0.368716068078915,0.0502926315789474,0.0414421568627451,0.00885047471620227
"214","SNPH",0.937433621658086,0.862882314590713,-0.170055789473684,-0.18140568627451,0.0113498968008256
"215","SMOX",0.907489160563694,0.81707999260759,0.0749018421052632,0.0825374509803922,-0.007635608875129
"216","TRMT6",0.6940836200824,0.187005504419449,-0.0803823684210526,-0.115810784313725,0.0354284158926729
"217","BTBD3",-0.054512918950824,0.514852884066923,-0.00112657894736842,0.0206662745098039,-0.0217928534571723
"218","C20orf72",0.924977514973045,0.773341107504984,-0.0890463157894737,-0.0962686274509804,0.00722231166150671
"221","CEP250",1.55656915855569,0.280690665509975,-0.0710152631578947,-0.0456229411764706,-0.0253923219814241
"222","NFS1",1.24363167892101,0.458941739648756,-0.0988492105263158,-0.0794843137254902,-0.0193648968008256
"223","TMPRSS15",0.909031562916194,0.56709993715674,-0.0365152631578947,-0.0401694117647059,0.00365414860681115
"224","CCT8",0.772266168356507,0.754489532521379,0.0273126315789474,0.035366862745098,-0.00805423116615067
"225","SYNJ1",-0.150166849763715,0.641981520735012,0.00112710526315789,-0.0075056862745098,0.0086327915376677
"226","MRPS6",2.52675859567108,0.0354910367297457,0.107676578947368,0.0426145098039216,0.0650620691434468
"227","MFAP2",0.962332479772846,0.827541463517246,-0.174614473684211,-0.181449215686275,0.00683474200206399
"228","CTSE",1.13025567854923,0.996140728138608,0.00202736842105263,0.00179372549019608,0.000233642930856547
"229","B3GALT5",-1.28144690607933,0.144462633161253,-0.0150881578947368,0.0117743137254902,-0.026862471620227
"230","B3GALT5.1",-9.42026698185358,0.148831863326506,-0.0209739473684211,0.00222647058823529,-0.0232004179566563
"231","PWP2",-15.5714381130491,0.179923445164692,0.0421039473684211,-0.00270392156862745,0.0448078689370485
"232","SUMO3",0.788295218873817,0.779415369520744,0.0534926315789474,0.0678586274509804,-0.014365995872033
"233","RSPH1",2.30832772519285,0.145916002000291,-0.167147368421053,-0.0724105882352941,-0.0947367801857585
"234","BCL2L13",0.909024357237993,0.75139873835807,-0.100240789473684,-0.110272941176471,0.0100321517027864
"235","DGCR14",1.0170230986201,0.921637275388239,-0.0977552631578947,-0.0961190196078431,-0.0016362435500516
"236","TXNRD2",0.822344990709492,0.141408970803395,-0.125276842105263,-0.152340980392157,0.0270641382868937
"237","PI4KA",0.921628128320688,0.651772260305429,-0.133346578947368,-0.144685882352941,0.0113393034055727
"238","RAB36",0.127357426499658,0.113697901396267,-0.0108544736842105,-0.085228431372549,0.0743739576883385
